date,campaign,channel,keyword,device,geography,audience_segment,impressions,clicks,cost,landing_page_visits,application_starts,conversions,revenue,customer_quality_score,ctr,cpc,conversion_rate,cpa,roas,visit_rate,application_start_rate,final_conversion_rate
2026-03-17,Travel Rewards Campaign,Google Search,premium credit card,Mobile,Bangalore,Frequent Travelers,3147,198,6634.82,136,38,4,51336.2,84.4,0.06291706387035272,33.50919191919192,0.020202020202020204,1658.705,7.737391519287637,0.6868686868686869,0.27941176470588236,0.10526315789473684
2026-02-27,Business Card Paid Search,Google Search,airport lounge credit card,Mobile,Hyderabad,Frequent Travelers,3235,112,2711.74,78,26,2,34474.1,69.5,0.03462132921174652,24.211964285714284,0.017857142857142856,1355.87,12.712907579635216,0.6964285714285714,0.3333333333333333,0.07692307692307693
2026-01-22,Cashback Search Campaign,Google Search,premium credit card,Mobile,Hyderabad,Small Business Owners,3832,251,8175.85,179,55,7,143438.62,87.6,0.06550104384133612,32.57310756972112,0.027888446215139442,1167.9785714285715,17.544184396729392,0.7131474103585658,0.30726256983240224,0.12727272727272726
2026-03-30,Credit Card Acquisition,Google Search,premium credit card,Mobile,Chennai,High Income Urban,1864,114,2542.27,71,34,5,73505.09,84.2,0.0611587982832618,22.30061403508772,0.043859649122807015,508.454,28.913172086363762,0.6228070175438597,0.4788732394366197,0.14705882352941177
2026-02-18,Travel Rewards Campaign,Affiliate,no annual fee credit card,Mobile,Chennai,High Income Urban,3619,66,670.12,53,18,1,14009.44,73.5,0.0182370820668693,10.153333333333334,0.015151515151515152,670.12,20.905867605801948,0.803030303030303,0.33962264150943394,0.05555555555555555
2026-02-28,SME Acquisition Campaign,YouTube,business credit card,Mobile,Gurgaon,High Income Urban,423,15,286.38,11,4,0,0.0,67.8,0.03546099290780142,19.092,0.0,,0.0,0.7333333333333333,0.36363636363636365,0.0
2026-02-11,Credit Card Acquisition,Bing Search,premium credit card,Mobile,Mumbai,Frequent Travelers,2749,139,4978.68,110,37,7,109838.72,72.3,0.05056384139687159,35.81784172661871,0.050359712230215826,711.24,22.06181558164011,0.7913669064748201,0.33636363636363636,0.1891891891891892
2026-03-01,Credit Card Acquisition,Affiliate,credit card for business,Mobile,Pune,Young Professionals,2300,92,1626.08,57,21,2,11299.51,65.8,0.04,17.67478260869565,0.021739130434782608,813.04,6.948926252090918,0.6195652173913043,0.3684210526315789,0.09523809523809523
2026-03-21,Cashback Search Campaign,Google Search,business credit card,Desktop,Gurgaon,Small Business Owners,4151,212,4408.13,171,55,7,129112.84,77.7,0.051072030835943145,20.793066037735848,0.0330188679245283,629.7328571428571,29.28970788066595,0.8066037735849056,0.3216374269005848,0.12727272727272726
2026-01-15,Travel Rewards Campaign,Google Search,low annual fee card,Mobile,Mumbai,Frequent Travelers,7014,314,5647.01,251,100,10,186287.2,100.0,0.044767607641859136,17.984108280254777,0.03184713375796178,564.701,32.98864354764734,0.7993630573248408,0.398406374501992,0.1
2026-03-03,Business Card Paid Search,YouTube,credit card for business,Desktop,Gurgaon,Young Professionals,5683,214,3714.02,150,46,8,54552.21,47.8,0.03765616751715643,17.355233644859812,0.037383177570093455,464.2525,14.688184231641186,0.7009345794392523,0.30666666666666664,0.17391304347826086
2026-03-03,SME Acquisition Campaign,YouTube,premium credit card,Mobile,Chennai,Small Business Owners,691,20,227.48,15,6,0,0.0,80.7,0.02894356005788712,11.373999999999999,0.0,,0.0,0.75,0.4,0.0
2026-02-16,Travel Rewards Campaign,Google Search,fuel cashback card,Mobile,Hyderabad,Young Professionals,2150,90,2328.73,66,25,3,26224.03,64.7,0.04186046511627907,25.874777777777776,0.03333333333333333,776.2433333333333,11.261086514967385,0.7333333333333333,0.3787878787878788,0.12
2026-03-03,SME Acquisition Campaign,Bing Search,cashback credit card,Desktop,Bangalore,Students,1416,99,1556.45,58,19,1,5781.61,46.5,0.06991525423728813,15.721717171717172,0.010101010101010102,1556.45,3.7146133830190493,0.5858585858585859,0.3275862068965517,0.05263157894736842
2026-02-20,Credit Card Acquisition,Display,no annual fee credit card,Mobile,Delhi,Young Professionals,1040,15,206.76,10,4,0,0.0,56.4,0.014423076923076924,13.783999999999999,0.0,,0.0,0.6666666666666666,0.4,0.0
2026-02-24,Cashback Search Campaign,Display,best credit card,Mobile,Chennai,Small Business Owners,2708,52,396.78,35,13,1,14228.63,94.3,0.019202363367799114,7.630384615384615,0.019230769230769232,396.78,35.86025001260144,0.6730769230769231,0.37142857142857144,0.07692307692307693
2026-03-05,Cashback Search Campaign,Display,airport lounge credit card,Desktop,Bangalore,Frequent Travelers,1266,38,685.06,27,10,1,13199.41,84.7,0.030015797788309637,18.027894736842104,0.02631578947368421,685.06,19.267524012495258,0.7105263157894737,0.37037037037037035,0.1
2026-01-03,Premium Card Campaign,Google Search,airport lounge credit card,Mobile,Hyderabad,High Income Urban,2409,111,2319.39,88,30,4,32816.13,79.4,0.0460772104607721,20.895405405405405,0.036036036036036036,579.8475,14.148603727704266,0.7927927927927928,0.3409090909090909,0.13333333333333333
2026-02-20,Business Card Paid Search,Google Search,credit card for business,Mobile,Kolkata,Small Business Owners,1714,103,2892.61,60,19,2,39880.29,75.3,0.060093348891481914,28.08359223300971,0.019417475728155338,1446.305,13.78695710794058,0.5825242718446602,0.31666666666666665,0.10526315789473684
2026-01-07,Cashback Search Campaign,Bing Search,airport lounge credit card,Mobile,Delhi,Frequent Travelers,2743,162,3906.31,110,38,7,118959.0,74.0,0.05905942398833394,24.113024691358024,0.043209876543209874,558.0442857142857,30.453036241363332,0.6790123456790124,0.34545454545454546,0.18421052631578946
2026-01-21,Credit Card Acquisition,Google Search,business credit card,Desktop,Mumbai,Frequent Travelers,1397,76,1973.78,49,14,1,15963.66,82.9,0.05440229062276306,25.97078947368421,0.013157894736842105,1973.78,8.087861869103953,0.6447368421052632,0.2857142857142857,0.07142857142857142
2026-03-14,Business Card Paid Search,Affiliate,travel rewards card,Desktop,Mumbai,Premium Customers,3747,177,3947.49,116,48,6,121544.04,77.0,0.04723779023218575,22.302203389830506,0.03389830508474576,657.915,30.790208461579383,0.655367231638418,0.41379310344827586,0.125
2026-02-08,Travel Rewards Campaign,Bing Search,fuel cashback card,Mobile,Hyderabad,Students,1802,86,1726.31,56,25,3,13784.49,51.7,0.04772475027746948,20.073372093023256,0.03488372093023256,575.4366666666666,7.984944766583059,0.6511627906976745,0.44642857142857145,0.12
2026-01-18,Cashback Search Campaign,Google Search,best credit card,Mobile,Delhi,Premium Customers,1251,48,941.84,34,13,2,43857.49,87.0,0.03836930455635491,19.621666666666666,0.041666666666666664,470.92,46.56575426824089,0.7083333333333334,0.38235294117647056,0.15384615384615385
2026-01-04,Business Card Paid Search,Meta,airport lounge credit card,Mobile,Bangalore,High Income Urban,2006,37,431.04,28,12,2,25393.66,82.6,0.018444666001994018,11.64972972972973,0.05405405405405406,215.52,58.91253711952487,0.7567567567567568,0.42857142857142855,0.16666666666666666
2026-03-30,Credit Card Acquisition,Bing Search,airport lounge credit card,Mobile,Hyderabad,Small Business Owners,2945,177,3122.51,132,56,5,83960.07,77.7,0.060101867572156194,17.641299435028248,0.02824858757062147,624.5020000000001,26.888647274148042,0.7457627118644068,0.42424242424242425,0.08928571428571429
2026-03-01,Premium Card Campaign,Google Search,credit card for business,Mobile,Mumbai,Premium Customers,1369,73,2134.26,53,16,2,50547.45,100.0,0.053323593864134405,29.236438356164385,0.0273972602739726,1067.13,23.683829524050488,0.726027397260274,0.3018867924528302,0.125
2026-01-14,SME Acquisition Campaign,Meta,premium credit card,Mobile,Kolkata,High Income Urban,2093,71,1516.41,54,21,2,21745.92,76.1,0.03392259913999045,21.357887323943665,0.028169014084507043,758.205,14.340396067026726,0.7605633802816901,0.3888888888888889,0.09523809523809523
2026-01-09,SME Acquisition Campaign,Meta,cashback credit card,Mobile,Hyderabad,Frequent Travelers,1922,33,132.0,30,7,0,0.0,83.2,0.01716961498439126,4.0,0.0,,0.0,0.9090909090909091,0.23333333333333334,0.0
2026-03-31,Credit Card Acquisition,Display,no annual fee credit card,Mobile,Kolkata,Small Business Owners,1030,30,490.96,21,7,1,13962.18,75.1,0.02912621359223301,16.365333333333332,0.03333333333333333,490.96,28.438528597034384,0.7,0.3333333333333333,0.14285714285714285
2026-02-22,Credit Card Acquisition,Google Search,no annual fee credit card,Desktop,Bangalore,Premium Customers,3649,169,4269.6,135,33,3,78058.33,90.5,0.04631405864620444,25.26390532544379,0.01775147928994083,1423.2,18.282351976765973,0.7988165680473372,0.24444444444444444,0.09090909090909091
2026-01-02,SME Acquisition Campaign,YouTube,no annual fee credit card,Mobile,Gurgaon,Young Professionals,4238,83,380.28,66,21,2,6052.0,56.5,0.019584709768758847,4.581686746987952,0.024096385542168676,190.14,15.914589250026298,0.7951807228915663,0.3181818181818182,0.09523809523809523
2026-03-25,Premium Card Campaign,Meta,no annual fee credit card,Mobile,Kolkata,High Income Urban,2942,28,112.0,24,5,1,15163.47,56.6,0.009517335146159076,4.0,0.03571428571428571,112.0,135.388125,0.8571428571428571,0.20833333333333334,0.2
2026-03-01,Business Card Paid Search,Google Search,low annual fee card,Mobile,Kolkata,High Income Urban,4742,240,6088.23,183,78,9,111179.33,70.0,0.05061155630535639,25.367624999999997,0.0375,676.4699999999999,18.261355106492363,0.7625,0.4262295081967213,0.11538461538461539
2026-03-12,SME Acquisition Campaign,Google Search,best credit card,Desktop,Pune,Students,1610,78,1954.53,50,15,1,4582.44,56.6,0.0484472049689441,25.05807692307692,0.01282051282051282,1954.53,2.344522724133167,0.6410256410256411,0.3,0.06666666666666667
2026-02-13,Credit Card Acquisition,Meta,premium credit card,Desktop,Pune,Young Professionals,1701,67,1506.97,49,20,3,25985.89,61.4,0.0393885949441505,22.492089552238806,0.04477611940298507,502.3233333333333,17.243800473798416,0.7313432835820896,0.40816326530612246,0.15
2026-01-08,Cashback Search Campaign,Google Search,cashback credit card,Desktop,Chennai,Small Business Owners,2891,47,765.74,34,11,1,19514.04,79.1,0.016257350397786235,16.292340425531915,0.02127659574468085,765.74,25.4838979288009,0.723404255319149,0.3235294117647059,0.09090909090909091
2026-02-16,Travel Rewards Campaign,Meta,cashback credit card,Mobile,Pune,Premium Customers,1268,27,521.49,21,4,0,0.0,84.9,0.021293375394321766,19.314444444444444,0.0,,0.0,0.7777777777777778,0.19047619047619047,0.0
2026-02-04,Premium Card Campaign,Bing Search,credit card for business,Desktop,Gurgaon,Frequent Travelers,560,29,782.42,18,5,0,0.0,100.0,0.05178571428571429,26.979999999999997,0.0,,0.0,0.6206896551724138,0.2777777777777778,0.0
2026-03-19,Premium Card Campaign,Bing Search,fuel cashback card,Mobile,Bangalore,Premium Customers,4123,139,3191.15,114,33,4,89852.13,94.1,0.03371331554693185,22.957913669064748,0.02877697841726619,797.7875,28.156661391661313,0.8201438848920863,0.2894736842105263,0.12121212121212122
2026-03-22,Cashback Search Campaign,Google Search,airport lounge credit card,Mobile,Chennai,Small Business Owners,1347,80,1840.57,57,19,2,32693.49,66.1,0.05939123979213066,23.007125,0.025,920.285,17.762698511874042,0.7125,0.3333333333333333,0.10526315789473684
2026-02-05,Cashback Search Campaign,Meta,airport lounge credit card,Mobile,Delhi,Small Business Owners,4041,166,3049.71,130,59,5,88611.8,76.6,0.041078940856223704,18.37174698795181,0.030120481927710843,609.942,29.05581186407888,0.7831325301204819,0.45384615384615384,0.0847457627118644
2026-02-19,Credit Card Acquisition,Google Search,premium credit card,Desktop,Kolkata,Small Business Owners,3173,188,5734.13,140,66,14,228755.54,78.0,0.05924992121021116,30.500691489361703,0.07446808510638298,409.5807142857143,39.89367872720012,0.7446808510638298,0.4714285714285714,0.21212121212121213
2026-01-04,SME Acquisition Campaign,YouTube,low annual fee card,Desktop,Hyderabad,Small Business Owners,2875,101,1380.0,73,23,3,58160.8,74.8,0.035130434782608695,13.663366336633663,0.0297029702970297,460.0,42.145507246376816,0.7227722772277227,0.3150684931506849,0.13043478260869565
2026-01-02,Business Card Paid Search,Display,business credit card,Desktop,Bangalore,High Income Urban,3502,93,1831.31,68,16,3,44729.64,72.6,0.02655625356938892,19.691505376344086,0.03225806451612903,610.4366666666666,24.424941708394538,0.7311827956989247,0.23529411764705882,0.1875
2026-01-06,Premium Card Campaign,Display,travel rewards card,Desktop,Gurgaon,Premium Customers,1561,50,760.68,38,10,0,0.0,82.3,0.032030749519538756,15.2136,0.0,,0.0,0.76,0.2631578947368421,0.0
2026-02-23,Premium Card Campaign,Affiliate,premium credit card,Mobile,Kolkata,Young Professionals,4061,141,1512.28,123,46,8,85247.76,56.9,0.03472051218911598,10.725390070921986,0.05673758865248227,189.035,56.370354696220275,0.8723404255319149,0.37398373983739835,0.17391304347826086
2026-01-04,Cashback Search Campaign,YouTube,business credit card,Mobile,Chennai,Frequent Travelers,5296,147,2959.16,82,27,3,57353.91,79.5,0.027756797583081572,20.13034013605442,0.02040816326530612,986.3866666666667,19.381821192500578,0.5578231292517006,0.32926829268292684,0.1111111111111111
2026-02-23,SME Acquisition Campaign,Bing Search,travel rewards card,Mobile,Mumbai,Frequent Travelers,4016,238,5795.43,181,38,7,94648.61,62.6,0.05926294820717132,24.350546218487395,0.029411764705882353,827.9185714285715,16.33159403184923,0.7605042016806722,0.20994475138121546,0.18421052631578946
2026-03-04,Premium Card Campaign,Affiliate,cashback credit card,Desktop,Pune,Students,1060,20,268.01,14,4,0,0.0,23.5,0.018867924528301886,13.4005,0.0,,0.0,0.7,0.2857142857142857,0.0
2026-01-18,Business Card Paid Search,Display,low annual fee card,Mobile,Pune,High Income Urban,2520,88,1108.36,62,27,3,44948.43,84.4,0.03492063492063492,12.594999999999999,0.03409090909090909,369.4533333333333,40.55399870078314,0.7045454545454546,0.43548387096774194,0.1111111111111111
2026-03-31,Cashback Search Campaign,Google Search,premium credit card,Desktop,Bangalore,Small Business Owners,872,39,1189.41,20,7,1,16747.14,90.4,0.04472477064220184,30.49769230769231,0.02564102564102564,1189.41,14.080207834136251,0.5128205128205128,0.35,0.14285714285714285
2026-02-13,Business Card Paid Search,Google Search,no annual fee credit card,Mobile,Kolkata,Small Business Owners,3209,196,3486.51,150,51,6,142494.07,85.7,0.061078217513244,17.788316326530612,0.030612244897959183,581.085,40.870116534872984,0.7653061224489796,0.34,0.11764705882352941
2026-02-03,SME Acquisition Campaign,Meta,cashback credit card,Mobile,Pune,Small Business Owners,1724,72,1162.52,51,15,1,16962.36,85.0,0.04176334106728538,16.14611111111111,0.013888888888888888,1162.52,14.591026390943812,0.7083333333333334,0.29411764705882354,0.06666666666666667
2026-03-15,Premium Card Campaign,Google Search,business credit card,Mobile,Pune,High Income Urban,562,28,893.17,18,5,0,0.0,70.1,0.0498220640569395,31.89892857142857,0.0,,0.0,0.6428571428571429,0.2777777777777778,0.0
2026-03-03,Travel Rewards Campaign,Display,premium credit card,Mobile,Kolkata,Young Professionals,1606,73,1114.94,52,19,1,7725.44,92.2,0.045454545454545456,15.273150684931508,0.0136986301369863,1114.94,6.92901860189786,0.7123287671232876,0.36538461538461536,0.05263157894736842
2026-01-14,Premium Card Campaign,Bing Search,premium credit card,Desktop,Bangalore,Small Business Owners,2187,111,4248.44,77,27,3,49816.11,83.9,0.05075445816186557,38.27423423423423,0.02702702702702703,1416.1466666666665,11.725741684006366,0.6936936936936937,0.35064935064935066,0.1111111111111111
2026-02-17,SME Acquisition Campaign,Google Search,credit card for business,Mobile,Bangalore,Students,1317,81,2361.7,47,18,1,7712.34,71.1,0.06150341685649203,29.156790123456787,0.012345679012345678,2361.7,3.2655883473768896,0.5802469135802469,0.3829787234042553,0.05555555555555555
2026-01-15,Premium Card Campaign,YouTube,best credit card,Mobile,Chennai,Students,4096,82,546.35,59,22,0,0.0,65.6,0.02001953125,6.662804878048781,0.0,,0.0,0.7195121951219512,0.3728813559322034,0.0
2026-03-13,Premium Card Campaign,Google Search,cashback credit card,Mobile,Gurgaon,Young Professionals,1437,39,739.7,29,9,1,9250.22,66.6,0.027139874739039668,18.96666666666667,0.02564102564102564,739.7,12.505367040692171,0.7435897435897436,0.3103448275862069,0.1111111111111111
2026-03-19,Credit Card Acquisition,Bing Search,premium credit card,Mobile,Gurgaon,High Income Urban,1281,21,503.25,14,5,0,0.0,69.9,0.01639344262295082,23.964285714285715,0.0,,0.0,0.6666666666666666,0.35714285714285715,0.0
2026-03-28,Premium Card Campaign,YouTube,airport lounge credit card,Mobile,Pune,Small Business Owners,518,16,279.0,11,3,0,0.0,82.2,0.03088803088803089,17.4375,0.0,,0.0,0.6875,0.2727272727272727,0.0
2026-03-03,Premium Card Campaign,Bing Search,airport lounge credit card,Mobile,Chennai,Premium Customers,3566,195,5132.75,142,47,8,169548.56,84.0,0.054683118339876616,26.32179487179487,0.041025641025641026,641.59375,33.03269397496469,0.7282051282051282,0.33098591549295775,0.1702127659574468
2026-02-09,Business Card Paid Search,Meta,best credit card,Desktop,Bangalore,Premium Customers,2333,89,1331.25,71,31,3,64462.31,92.6,0.038148306900985855,14.957865168539326,0.033707865168539325,443.75,48.42239248826291,0.797752808988764,0.43661971830985913,0.0967741935483871
2026-03-26,Travel Rewards Campaign,Meta,premium credit card,Mobile,Bangalore,Frequent Travelers,3840,131,2908.8,93,31,3,42834.9,84.7,0.03411458333333333,22.204580152671756,0.022900763358778626,969.6,14.725969471947193,0.7099236641221374,0.3333333333333333,0.0967741935483871
2026-03-21,Business Card Paid Search,Meta,no annual fee credit card,Mobile,Pune,Young Professionals,2414,77,1308.49,60,19,2,15896.48,49.8,0.03189726594863297,16.993376623376623,0.025974025974025976,654.245,12.148721044868513,0.7792207792207793,0.31666666666666665,0.10526315789473684
2026-03-23,Business Card Paid Search,Google Search,best credit card,Mobile,Delhi,Premium Customers,4676,165,3470.28,114,40,1,23312.89,100.0,0.03528656971770744,21.032,0.006060606060606061,3470.28,6.717870027778738,0.6909090909090909,0.3508771929824561,0.025
2026-02-22,Cashback Search Campaign,Google Search,best credit card,Mobile,Mumbai,Frequent Travelers,3094,113,2677.04,99,24,2,35643.28,70.2,0.03652230122818358,23.690619469026547,0.017699115044247787,1338.52,13.314436840689718,0.8761061946902655,0.24242424242424243,0.08333333333333333
2026-01-24,Credit Card Acquisition,YouTube,business credit card,Mobile,Hyderabad,Students,2876,128,2144.31,87,31,4,36998.31,18.1,0.04450625869262865,16.752421875,0.03125,536.0775,17.254179666186324,0.6796875,0.3563218390804598,0.12903225806451613
2026-01-26,Business Card Paid Search,Affiliate,business credit card,Mobile,Hyderabad,Frequent Travelers,2150,20,387.72,13,6,1,15739.85,77.2,0.009302325581395349,19.386000000000003,0.05,387.72,40.595919735891876,0.65,0.46153846153846156,0.16666666666666666
2026-03-30,SME Acquisition Campaign,Meta,fuel cashback card,Mobile,Kolkata,Small Business Owners,464,10,138.0,7,1,0,0.0,70.5,0.021551724137931036,13.8,0.0,,0.0,0.7,0.14285714285714285,0.0
2026-03-01,SME Acquisition Campaign,Meta,cashback credit card,Desktop,Pune,Small Business Owners,1381,29,116.0,19,6,0,0.0,81.5,0.020999275887038378,4.0,0.0,,0.0,0.6551724137931034,0.3157894736842105,0.0
2026-02-10,Premium Card Campaign,Google Search,travel rewards card,Mobile,Chennai,Students,1189,78,2146.65,48,16,0,0.0,45.7,0.0656013456686291,27.521153846153847,0.0,,0.0,0.6153846153846154,0.3333333333333333,0.0
2026-01-29,Cashback Search Campaign,Bing Search,best credit card,Desktop,Kolkata,Young Professionals,2120,79,1790.14,61,20,2,14796.36,66.5,0.037264150943396225,22.66,0.02531645569620253,895.07,8.265476443183214,0.7721518987341772,0.32786885245901637,0.1
2026-01-15,Credit Card Acquisition,Bing Search,business credit card,Desktop,Hyderabad,High Income Urban,1584,95,2820.54,45,15,1,14808.98,82.1,0.05997474747474747,29.689894736842106,0.010526315789473684,2820.54,5.250405950633566,0.47368421052631576,0.3333333333333333,0.06666666666666667
2026-02-14,Credit Card Acquisition,Google Search,low annual fee card,Mobile,Gurgaon,Small Business Owners,3766,185,3735.23,122,48,9,153183.97,71.9,0.04912373871481678,20.190432432432434,0.04864864864864865,415.02555555555557,41.0105856935182,0.6594594594594595,0.39344262295081966,0.1875
2026-03-06,Premium Card Campaign,Google Search,fuel cashback card,Mobile,Chennai,Small Business Owners,3503,87,2119.02,53,13,1,17276.19,78.4,0.024835854981444475,24.35655172413793,0.011494252873563218,2119.02,8.152915026757652,0.6091954022988506,0.24528301886792453,0.07692307692307693
2026-03-30,SME Acquisition Campaign,Affiliate,premium credit card,Mobile,Kolkata,Frequent Travelers,1809,58,995.81,42,16,2,35028.45,84.8,0.032061912658927584,17.16913793103448,0.034482758620689655,497.905,35.17583675600767,0.7241379310344828,0.38095238095238093,0.125
2026-03-12,Travel Rewards Campaign,Google Search,cashback credit card,Mobile,Chennai,Frequent Travelers,2333,83,1420.33,45,15,2,33550.58,71.4,0.03557651093013288,17.112409638554215,0.024096385542168676,710.165,23.62167946885583,0.5421686746987951,0.3333333333333333,0.13333333333333333
2026-01-09,Cashback Search Campaign,Google Search,premium credit card,Desktop,Kolkata,Frequent Travelers,1331,85,2952.48,64,12,1,21001.33,59.2,0.0638617580766341,34.735058823529414,0.011764705882352941,2952.48,7.1131150761393815,0.7529411764705882,0.1875,0.08333333333333333
